entity_id,paragraph_ID,sentence_ID,start_token,end_token,text,time_kind,precision,annee,mois,jour,heure,minute,datetime_auto,time_code_auto,jour_romanesque,debut_auto,fin_auto,duration_value,duration_unit,duration_relation,regle
0,0,0,0,3,en l' année 1872,date_absolue,annee,1872.0,,,,,1872,1872-00-00-00-00,,,,,,,annee_seule
1,0,0,24,25,en 1814,date_absolue,annee,1814.0,,,,,1814,1814-00-00-00-00,,,,,,,annee_seule
2,9,26,762,765,depuis de longues années,relatif_non_calcule,non_instancie,,,,,,,,,,,,,,relatif_non_calcule
3,9,27,803,804,chaque jour,frequence,non_instancie,,,,,,,,,,,,,,frequence
4,10,36,1004,1008,à des heures chronométriquement déterminées,frequence,non_instancie,,,,,,,,,,,,,,frequence
5,10,36,1041,1043,à minuit précis,heure,heure,1872.0,,,0.0,0.0,,1872-00-00-00-00,,,,,,,heure_seule
6,10,37,1066,1068,sur vingt-quatre heures,duree,quantite,,,,,,,,,,,24.0,heure,sur,duree_non_ancree
7,12,44,1345,1348,ce jour -là même,relatif,datetime,1872.0,10.0,2.0,0.0,0.0,1872-10-02 00:00,1872-10-02-00-00,1.0,,,,,,deictique_date_suivante_meme_phrase
8,12,44,1350,1351,2 octobre,date_absolue,jour,1872.0,10.0,2.0,,,1872-10-02,1872-10-02-00-00,1.0,,,,,,date_complete
9,12,44,1399,1406,entre onze heures et onze heures et demie,intervalle,heure,1872.0,10.0,2.0,11.0,0.0,1872-10-02 11:00,1872-10-02-11-00,1.0,1872-10-02 11:00,1872-10-02 11:30,,,,intervalle_heure
10,13,45,1473,1474,l' année,relatif,annee,1872.0,,,,,1872,1872-00-00-00-00,,,,,,,annee_courante
11,13,46,1476,1481,à onze heures et demie sonnant,heure,heure,1872.0,10.0,2.0,11.0,30.0,1872-10-02 11:30,1872-10-02-11-30,1.0,,,,,,heure_seule
12,14,47,1503,1505,en ce moment,relatif,datetime,1872.0,10.0,2.0,11.0,30.0,1872-10-02 11:30,1872-10-02-11-30,1.0,,,,,,deictique_instant_courant
13,19,56,1692,1694,voilà cinq ans,duree,intervalle,1872.0,10.0,2.0,11.0,30.0,1872-10-02 11:30,1872-10-02-11-30,1.0,1867-10-02 11:30,1872-10-02 11:30,5.0,annee,depuis,duree_depuis_intervalle
14,23,65,1813,1815,onze heures vingt-deux,heure,heure,1872.0,10.0,2.0,11.0,22.0,1872-10-02 11:22,1872-10-02-11-22,1.0,,,,,,heure_seule
15,26,71,1869,1873,à partir de ce moment,relatif,datetime,1872.0,10.0,2.0,11.0,22.0,1872-10-02 11:22,1872-10-02-11-22,1.0,,,,,,deictique_instant_courant
16,26,71,1875,1879,onze heures vingt-neuf du matin,heure,heure,1872.0,10.0,2.0,11.0,29.0,1872-10-02 11:29,1872-10-02-11-29,1.0,,,,,,heure_seule
17,26,71,1881,1885,ce mercredi 2 octobre 1872,date_absolue,jour,1872.0,10.0,2.0,,,1872-10-02,1872-10-02-00-00,1.0,,,,,,date_complete
18,32,78,2046,2049,pendant les quelques instants,duree,quantite,,,,,,,,,,,,,,duree_quantite
19,34,92,2446,2448,depuis cinq ans,duree,intervalle,1872.0,10.0,2.0,0.0,0.0,1872-10-02 00:00,1872-10-02-00-00,1.0,1867-10-02 00:00,1872-10-02 00:00,5.0,annee,depuis,duree_depuis_intervalle
20,37,113,2952,2955,onze heures et demie,heure,heure,1872.0,10.0,2.0,11.0,30.0,1872-10-02 11:30,1872-10-02-11-30,1.0,,,,,,heure_seule
21,39,125,3160,3164,depuis huit heures du matin,relatif,datetime,1872.0,10.0,2.0,8.0,0.0,1872-10-02 08:00,1872-10-02-08-00,1.0,,,,,,heure_depuis_jusqu
22,39,125,3175,3180,jusqu' à onze heures et demie,relatif,datetime,1872.0,10.0,2.0,11.0,30.0,1872-10-02 11:30,1872-10-02-11-30,1.0,,,,,,heure_depuis_jusqu
23,39,125,3209,3211,huit heures vingt-trois,heure,heure,1872.0,10.0,2.0,8.0,23.0,1872-10-02 08:23,1872-10-02-08-23,1.0,,,,,,heure_seule
24,39,125,3219,3221,neuf heures trente-sept,heure,heure,1872.0,10.0,2.0,9.0,37.0,1872-10-02 09:37,1872-10-02-09-37,1.0,,,,,,heure_seule
25,39,125,3226,3229,dix heures moins vingt,heure,heure,1872.0,10.0,2.0,9.0,40.0,1872-10-02 09:40,1872-10-02-09-40,1.0,,,,,,heure_seule
26,39,125,3233,3239,de onze heures et demie du matin,heure,heure,1872.0,10.0,2.0,11.0,30.0,1872-10-02 11:30,1872-10-02-11-30,1.0,,,,,,heure_seule
27,39,125,3241,3241,minuit,heure,heure,1872.0,10.0,2.0,0.0,0.0,1872-10-02 00:00,1872-10-02-00-00,1.0,,,,,,heure_seule
28,44,141,3552,3556,à onze heures et demie,heure,heure,1872.0,10.0,2.0,11.0,30.0,1872-10-02 11:30,1872-10-02-11-30,1.0,,,,,,heure_seule
29,46,145,3734,3738,à midi quarante - sept,heure,heure,1872.0,10.0,2.0,12.0,47.0,1872-10-02 12:47,1872-10-02-12-47,1.0,,,,,,heure_seule
30,46,147,3802,3808,jusqu' à trois heures quarante - cinq,relatif,datetime,1872.0,10.0,2.0,3.0,45.0,1872-10-02 03:45,1872-10-02-03-45,1.0,,,,,,heure_depuis_jusqu
31,46,147,3820,3822,jusqu' au dîner,relatif,datetime,1872.0,10.0,2.0,19.0,0.0,1872-10-02 19:00,1872-10-02-19-00,1.0,,,,,,moment_diner
32,46,148,3824,3825,ce repas,relatif,datetime,1872.0,10.0,2.0,12.0,0.0,1872-10-02 12:00,1872-10-02-12-00,1.0,,,,,,moment_repas
33,46,148,3833,3834,le déjeuner,relatif,datetime,1872.0,10.0,2.0,12.0,0.0,1872-10-02 12:00,1872-10-02-12-00,1.0,,,,,,moment_dejeuner
34,47,149,3845,3849,à six heures moins vingt,heure,heure,1872.0,10.0,2.0,5.0,40.0,1872-10-02 05:40,1872-10-02-05-40,1.0,,,,,,heure_seule
35,48,150,3868,3871,une demi-heure plus tard,relatif,datetime,1872.0,10.0,2.0,6.0,10.0,1872-10-02 06:10,1872-10-02-06-10,1.0,,,,,,offset_30min
36,59,164,4219,4221,trois jours auparavant,relatif,datetime,1872.0,9.0,29.0,6.0,10.0,1872-09-29 06:10,1872-09-29-06-10,-2.0,,,,,,offset_-3j
37,59,164,4223,4225,le 29 septembre,date_absolue,jour,1872.0,9.0,29.0,,,1872-09-29,1872-09-29-00-00,-2.0,,,,,,date_complete
38,61,171,4419,4420,un jour,duree,quantite,,,,,,,,,,,1.0,jour,duree_simple,duree_quantite
39,61,171,4496,4498,une demi-heure après,relatif,datetime,1872.0,9.0,29.0,0.0,30.0,1872-09-29 00:30,1872-09-29-00-30,-2.0,,,,,,offset_30min
40,62,172,4515,4517,le 29 septembre,date_absolue,jour,1872.0,9.0,29.0,,,1872-09-29,1872-09-29-00-00,-2.0,,,,,,date_complete
41,62,173,4556,4558,à cinq heures,heure,heure,1872.0,9.0,29.0,5.0,0.0,1872-09-29 05:00,1872-09-29-05-00,-2.0,,,,,,heure_seule
42,64,177,4730,4735,pendant cette journée du 29 septembre,date_absolue,jour,1872.0,9.0,29.0,,,1872-09-29,1872-09-29-00-00,-2.0,,,,,,date_complete
43,75,198,5172,5176,il y a cent ans,relatif,annee,1772.0,,,,,1772,1772-00-00-00-00,,,,,,,annee_moins_100
44,79,204,5275,5276,trois mois,duree,quantite,,,,,,,,,,,3.0,mois,duree_simple,duree_quantite
45,80,205,5279,5282,en quatre-vingts jours seulement,duree,intervalle,1872.0,12.0,18.0,0.0,0.0,1872-12-18 00:00,1872-12-18-00-00,78.0,1872-09-29 00:00,1872-12-18 00:00,80.0,jour,en,duree_forward_intervalle_en
46,82,207,5346,5347,7 jours,duree,quantite,,,,,,,,,,,7.0,jour,duree_simple,duree_quantite
47,83,208,5356,5357,13 jours,duree,quantite,,,,,,,,,,,13.0,jour,duree_simple,duree_quantite
48,84,209,5366,5367,3 jours,duree,quantite,,,,,,,,,,,3.0,jour,duree_simple,duree_quantite
49,85,210,5381,5382,13 jours,duree,quantite,,,,,,,,,,,13.0,jour,duree_simple,duree_quantite
50,86,211,5396,5397,6 jours,duree,quantite,,,,,,,,,,,6.0,jour,duree_simple,duree_quantite
51,87,212,5407,5408,22 jours,duree,quantite,,,,,,,,,,,22.0,jour,duree_simple,duree_quantite
52,88,213,5419,5420,7 jours,duree,quantite,,,,,,,,,,,7.0,jour,duree_simple,duree_quantite
53,89,214,5432,5433,9 jours,duree,quantite,,,,,,,,,,,9.0,jour,duree_simple,duree_quantite
54,91,216,5443,5444,quatre-vingts jours,duree,quantite,,,,,,,,,,,80.0,jour,duree_simple,duree_quantite
55,103,230,5681,5683,en quatre-vingts jours,duree,intervalle,1872.0,12.0,18.0,0.0,0.0,1872-12-18 00:00,1872-12-18-00-00,78.0,1872-09-29 00:00,1872-12-18 00:00,80.0,jour,en,duree_forward_intervalle_en
56,123,257,6001,6004,quatre-vingts jours ou moins,duree,quantite,,,,,,,,,,,80.0,jour,duree_simple,duree_quantite
57,123,257,6006,6017,soit dix-neuf cent vingt heures ou cent quinze mille deux cents minutes,moment_vague,non_instancie,,,,,,,,,,,,,,moment_vague
58,125,261,6054,6059,à huit heures quarante - cinq,heure,heure,1872.0,9.0,29.0,8.0,45.0,1872-09-29 08:45,1872-09-29-08-45,-2.0,,,,,,heure_seule
59,126,263,6065,6067,-ce soir même,relatif,datetime,1872.0,9.0,29.0,20.0,0.0,1872-09-29 20:00,1872-09-29-20-00,-2.0,,,,,,moment_soir
60,127,264,6072,6074,-ce soir même,relatif,datetime,1872.0,9.0,29.0,20.0,0.0,1872-09-29 20:00,1872-09-29-20-00,-2.0,,,,,,moment_soir
61,127,265,6096,6098,mercredi 2 octobre,date_absolue,jour,1872.0,10.0,2.0,,,1872-10-02,1872-10-02-00-00,1.0,,,,,,date_complete
62,127,265,6117,6120,le samedi 21 décembre,date_absolue,jour,1872.0,12.0,21.0,,,1872-12-21,1872-12-21-00-00,81.0,,,,,,date_complete
63,127,265,6122,6129,à huit heures quarante - cinq du soir,heure,heure,1872.0,12.0,21.0,20.0,45.0,1872-12-21 20:45,1872-12-21-20-45,81.0,,,,,,heure_seule
64,129,272,6274,6276,sept heures sonnaient,heure,heure,1872.0,12.0,21.0,7.0,0.0,1872-12-21 07:00,1872-12-21-07-00,81.0,,,,,,heure_seule
65,132,278,6332,6335,à sept heures vingt-cinq,heure,heure,1872.0,12.0,21.0,7.0,25.0,1872-12-21 07:25,1872-12-21-07-25,81.0,,,,,,heure_seule
66,132,279,6364,6367,à sept heures cinquante,heure,heure,1872.0,12.0,21.0,7.0,50.0,1872-12-21 07:50,1872-12-21-07-50,81.0,,,,,,heure_seule
67,133,280,6404,6406,cette heure insolite,relatif,datetime,1872.0,12.0,21.0,7.0,50.0,1872-12-21 07:50,1872-12-21-07-50,81.0,,,,,,deictique_instant_courant
68,133,281,6423,6424,minuit précis,heure,heure,1872.0,12.0,21.0,0.0,0.0,1872-12-21 00:00,1872-12-21-00-00,81.0,,,,,,heure_seule
69,140,290,6504,6504,minuit,heure,heure,1872.0,12.0,21.0,0.0,0.0,1872-12-21 00:00,1872-12-21-00-00,81.0,,,,,,heure_seule
70,141,292,6534,6536,dans dix minutes,relatif,datetime,1872.0,12.0,21.0,0.0,10.0,1872-12-21 00:10,1872-12-21-00-10,81.0,,,,,,offset_10min
71,147,300,6637,6639,en quatre-vingts jours,duree,intervalle,1873.0,3.0,11.0,0.0,10.0,1873-03-11 00:10,1873-03-11-00-10,161.0,1872-12-21 00:10,1873-03-11 00:10,80.0,jour,en,duree_forward_intervalle_en
72,152,325,6854,6856,depuis cinq ans,duree,intervalle,1872.0,12.0,21.0,0.0,10.0,1872-12-21 00:10,1872-12-21-00-10,81.0,1867-12-21 00:10,1872-12-21 00:10,5.0,annee,depuis,duree_depuis_intervalle
73,153,328,6936,6938,à huit heures,heure,heure,1872.0,12.0,21.0,8.0,0.0,1872-12-21 08:00,1872-12-21-08-00,81.0,,,,,,heure_seule
74,165,344,7204,7207,à huit heures vingt,heure,heure,1872.0,12.0,21.0,8.0,20.0,1872-12-21 08:20,1872-12-21-08-20,81.0,,,,,,heure_seule
75,166,347,7234,7236,en ce moment,relatif,datetime,1872.0,12.0,21.0,8.0,20.0,1872-12-21 08:20,1872-12-21-08-20,81.0,,,,,,deictique_instant_courant
